Title,Release Date,Genres,Runtime,Format,Country,Language,Foreign Language,Seen,Is TV Series,Runtime in Minutes,Duration Type
Feng huo wan li qing,1967,Drama | Romance,1:44,DVD,Hong Kong,Mandarin,Yes,No,No,104,Medium
A Few Good Men,1992,Drama | Thriller,2:18,Blu-ray,USA,English,No,No,No,138,Medium
The Fifth Element,1997,Action | Adventure | Science Fiction,2:06,Blu-ray,USA,English,No,No,No,126,Medium
The Fighter,2010,Action | Biography | Drama | Sports,1:56,Blu-ray,USA,English,No,No,No,116,Medium
Finding Nemo,2003,Adventure | Animation | Comedy | Family,1:40,Blu-ray,USA,English,No,No,No,100,Medium
Firefly: The Complete Series,2002,Adventure | Drama | Science Fiction,10:51,Blu-ray,USA,English,No,No,Yes,651,Long
First Strike,1996,Action | Adventure | Comedy | Crime | Drama | Thriller,1:47,DVD,Hong Kong,English,No,No,No,107,Medium
Fist of Legend,1994,Action | Drama,1:43,DVD,Hong Kong,English,No,No,No,103,Medium
Ford v Ferrari,2019,Action | Biography | Drama | Sports,2:32,4K UHD,USA,English,No,No,No,152,Medium
Free Guy,2021,Action | Adventure | Comedy | Fantasy | Science Fiction,1:55,4K UHD,USA,English,No,No,No,115,Medium
Fresh Off The Boat,2015,Comedy,4:45,DVD,USA,English,No,No,Yes,285,Long
Friends: The Complete Second Series,2013,Comedy,8:48,DVD,USA,English,No,No,No,528,Long
Frozen,2013,Adventure | Animation | Comedy | Family | Fantasy | Musical,1:42,Blu-ray,USA,English,No,No,No,102,Medium
Full Metal Jacket,1987,Drama | War,1:56,Blu-ray,UK,English,No,No,No,116,Medium
Furious 7,2015,Action | Crime | Thriller,2:17,Blu-ray,USA,English,No,No,No,137,Medium
Gabriel Iglesias: Aloha Fluffy,2013,Comedy,1:00,Blu-ray,USA,English,No,No,Yes,60,Short
"Gabriel Iglesias: Im' Not Fat, I'm Fluffy",2009,Comedy,1:09,DVD,USA,English,No,No,Yes,69,Short
Game of Thrones: Season 1,2011,Action | Adventure | Drama | Fantasy,9:27,Blu-ray,USA,English,No,No,Yes,567,Long
Garden State,2004,Comedy | Drama | Romance,1:42,DVD,USA,English,No,No,No,102,Medium
Ghost in the Shell,2017,Action | Crime | Drama | Mystery | Science Fiction | Thriller,1:47,Blu-ray,USA,English,No,No,No,107,Medium
Ghost in the Shell,1995,Action | Animation | Crime | Drama | Mystery | Science Fiction | Thriller,1:23,DVD,Japan,Japanese,Yes,No,No,83,Short
Ghost in the Shell,1995,Action | Animation | Crime | Drama | Mystery | Science Fiction | Thriller,1:23,Blu-ray,Japan,Japanese,Yes,No,No,83,Short
Ghost in the Shell 2: Innocence,2004,Action | Animation | Drama | Science Fiction | Thriller,1:40,Blu-ray,Japan,Japanese,Yes,No,No,100,Medium
Ghostbusters,1984,Action | Comedy | Fantasy | Science Fiction,1:45,DVD,USA,English,No,No,No,105,Medium
Gilmore Girls: Season 1,2000,Comedy | Drama,15:22,DVD,USA,English,No,No,Yes,202,Long
The Girl with the Dragon Tattoo,2011,Crime | Drama | Mystery | Thriller,2:38,Blu-ray,USA,English,No,No,No,158,Medium
Glory,1989,Biography | Drama | History | War,2:02,DVD,USA,English,No,No,No,122,Medium
The Godfather,1972,Crime | Drama,2:55,Blu-ray,USA,English,No,No,No,175,Long
The Godfather Part II,1974,Crime | Drama,3:22,Blu-ray,USA,English,No,No,No,202,Long
The Godfather Part III,1990,Crime | Drama,2:42,Blu-ray,USA,English,No,No,No,162,Medium
Goldfinger,1964,Action | Adventure | Thriller,1:50,Blu-ray,UK,English,No,No,No,110,Medium
Gone with the Wind,1939,Drama | Romance | War,3:58,Blu-ray,USA,English,No,No,No,238,Long
Gravity,2013,Drama | Science Fiction | Thriller,1:31,Blu-ray,UK,English,No,No,No,91,Medium
Guardians of the Galaxy,2014,Action | Adventure | Comedy | Science Fiction,2:01,Blu-ray 3D,USA,English,No,No,No,121,Medium
The Hateful Eight,2015,Crime | Drama | Mystery | Thriller | Western,2:48,Blu-ray,USA,English,No,No,No,168,Long
Hero,2002,Action | Adventure | Drama,2:00,Blu-ray,Hong Kong,English,No,No,No,120,Medium
Hot Fuzz,2007,Action | Comedy | Mystery | Thriller,2:01,DVD,UK,English,No,No,No,121,Medium
How I Met Your Mother: Season 1,2005,Comedy | Romance,8:16,DVD,USA,English,No,No,Yes,496,Long
How I Met Your Mother: Season 2,2006,Comedy | Romance,8:33,DVD,USA,English,No,No,Yes,513,Long
How I Met Your Mother: Season 3,2007,Comedy | Romance,7:18,DVD,USA,English,No,No,Yes,438,Long
How I Met Your Mother: Season 4,2008,Comedy | Romance,12:00,DVD,USA,English,No,No,Yes,720,Long
How I Met Your Mother: Season 5,2009,Comedy | Drama | Romance,11:36,DVD,USA,English,No,No,Yes,696,Long
How I Met Your Mother: Season 6,2010,Comedy | Drama | Romance,10:51,DVD,USA,English,No,No,Yes,651,Long
How I Met Your Mother: Season 7,2011,Comedy | Drama | Romance,8:42,DVD,USA,English,No,No,Yes,522,Long
How I Met Your Mother: Season 8,2012,Comedy | Drama | Romance,8:44,DVD,USA,English,No,No,Yes,524,Long
How I Met Your Mother: Season 9,2013,Comedy | Drama | Romance,8:42,DVD,USA,English,No,No,Yes,522,Long
The Hunger Games,2012,Action | Adventure | Science Fiction | Thriller,2:22,Blu-ray,USA,English,No,No,No,142,Medium
The Hunger Games: Catching Fire,2013,Action | Adventure | Science Fiction | Thriller,2:26,Blu-ray,USA,English,No,No,No,146,Medium
The Hunger Games: Mockingjay - Part 1,2014,Action | Adventure | Science Fiction | Thriller,2:03,Blu-ray,USA,English,No,No,No,123,Medium
The Hunt for Red October,1990,Action | Adventure | Thriller,2:15,DVD,USA,English,No,No,No,135,Medium
I Love Lucy: Season 1,1951,Comedy | Family,18:15,DVD,USA,English,No,No,Yes,375,Long
I Love Lucy: Season 2,1952,Comedy | Family,15:30,DVD,USA,English,No,No,Yes,210,Long
I Love Lucy: Season 4,1954,Comedy | Family,15:00,DVD,USA,English,No,No,Yes,180,Long
The Imitation Game,2014,Biography | Drama | Thriller | War,1:54,Blu-ray,UK,English,No,No,No,114,Medium
Inception,2010,Action | Adventure | Science Fiction | Thriller,2:28,Blu-ray,USA,English,No,No,No,148,Medium
The Incredibles,2004,Action | Adventure | Animation | Family,1:55,Blu-ray,USA,English,No,No,No,115,Medium
Incredibles 2,2018,Action | Adventure | Animation | Comedy | Family | Science Fiction,1:58,4K UHD,USA,English,No,No,No,118,Medium
Inglourious Basterds,2009,Adventure | Drama | War,2:33,Blu-ray,Germany,English,No,No,No,153,Medium
Interstellar,2014,Adventure | Drama | Science Fiction,2:49,Blu-ray,USA,English,No,No,No,169,Long
Ip Man,2008,Action | Biography | Drama | War,1:46,DVD,Hong Kong,Chinese,Yes,No,No,106,Medium
Ip Man 3,2015,Action | Biography | Drama | History,1:45,Blu-ray,China,Cantonese,Yes,No,No,105,Medium
Iron Man,2008,Action | Adventure | Science Fiction,2:06,Blu-ray,USA,English,No,No,No,126,Medium
Iron Monkey,1993,Action | Crime | Drama,1:30,DVD,Hong Kong,Cantonese,Yes,No,No,90,Medium
Isle of Dogs,2018,Adventure | Animation | Comedy | Drama | Science Fiction,1:41,Blu-ray,UK,English,No,No,No,101,Medium
The Jackie Chan Collection,2004,Action | Adventure | Comedy | Crime | Mystery | Sports | Thriller,13:30,DVD,Hong Kong,English,No,No,No,90,Medium
Jessica Jones: Season 1,2015,Action | Crime | Drama | Science Fiction | Thriller,11:17,Blu-ray,USA,English,No,No,Yes,677,Long
Jin-Roh: The Wolf Brigade,1999,Action | Animation | Drama | Science Fiction | Thriller,3:30,DVD,Japan,Japanese,Yes,No,Yes,210,Long
John Wick,2014,Action | Crime | Thriller,1:41,Blu-ray,USA,English,No,No,No,101,Medium
John Wick: Chapter 2,2017,Action | Crime | Thriller,2:02,Blu-ray,USA,English,No,No,No,122,Medium
John Wick: Chapter 3 - Parabellum,2019,Action | Crime | Thriller,2:10,4K UHD,USA,English,No,No,No,130,Medium
John Wick: Chapter 4,2023,Action | Crime | Thriller,2:49,Blu-ray,Germany,English,No,No,No,169,Long
Johnny Mnemonic,1995,Action | Drama | Science Fiction | Thriller,1:36,Blu-ray,Canada,English,No,No,No,96,Medium
Joker,2019,Crime | Drama | Thriller,2:02,4K UHD,USA,English,No,No,No,122,Medium
Joy,2015,Biography | Drama,2:04,Blu-ray,USA,English,No,No,No,124,Medium
Jurassic Park Collection: Jurassic Park / Lost World: Jurassic Park,1997,Action | Adventure | Animation | Documentary | Fantasy | Horror | Science Fiction | Thriller,4:16,DVD,USA,English,No,No,No,256,Long
Jurassic World,2015,Action | Adventure | Science Fiction,2:04,Blu-ray,USA,English,No,No,No,124,Medium
The Karate Kid,1984,Action | Drama | Family | Sports,2:06,DVD,USA,English,No,No,No,126,Medium
The Karate Kid Collection: The Karate Kid / The Karate Kid Part II / The Karate Kid Part III / The Next Karate Kid,1984,Action | Adventure | Comedy | Drama | Family | Martial Arts | Romance,7:32,DVD,USA,English,No,No,No,452,Long
The Karate Kid Part III,1989,Action | Drama | Family | Sports,1:52,DVD,USA,English,No,No,No,112,Medium
The Karate Kid Part II,1986,Action | Family | Sports,1:53,DVD,USA,English,No,No,No,113,Medium
Kick-Ass,2010,Action | Comedy | Crime,1:57,Blu-ray,UK,English,No,No,No,117,Medium
Kill Bill: Vol. 1,2003,Action | Crime | Thriller,1:51,Blu-ray,USA,English,No,No,No,111,Medium
Kill Bill: Vol. 2,2004,Action | Crime | Thriller,2:17,Blu-ray,USA,English,No,No,No,137,Medium
Kill Zone,2005,Action | Crime | Thriller,1:33,DVD,Hong Kong,Cantonese,Yes,No,No,93,Medium
The King's Speech,2010,Biography | Drama | History,1:58,Blu-ray,UK,English,No,No,No,118,Medium
Kingsman: The Secret Service,2014,Action | Adventure | Comedy | Thriller,2:09,Blu-ray,UK,English,No,No,No,129,Medium
Kung Fu Hustle,2004,Action | Comedy | Fantasy,1:39,Blu-ray,Hong Kong,Cantonese,Yes,No,No,99,Medium
La La Land,2016,Comedy | Drama | Music | Musical | Romance,2:08,Blu-ray,USA,English,No,No,No,128,Medium
The Last Samurai,2003,Action | Drama,2:34,DVD,USA,English,No,No,No,154,Medium
Legendary Weapons of China,1982,Action | Comedy | Drama,1:40,DVD,Hong Kong,Cantonese,Yes,No,No,100,Medium
The Lego Movie,2014,Action | Adventure | Animation | Comedy | Family | Fantasy | Science Fiction,1:40,Blu-ray,USA,English,No,No,No,100,Medium
Léon: The Professional,1994,Action | Crime | Drama | Thriller,1:50,DVD,USA,English,No,No,No,110,Medium
Lethal Weapon: Triple Feature,1992,Action | Adventure | Comedy | Crime | Drama | Thriller,5:56,DVD,USA,English,No,No,No,356,Long
The Little Mermaid,1989,Adventure | Animation | Family | Fantasy | Musical | Romance,1:23,Blu-ray,USA,English,No,No,No,83,Short
